,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold,type,dataset
0,ExtraTrees,7,505.0,100.0,100.0,88.68,100.0,94.0,4,Tabular Models,FARSEEING
1,ExtraTrees,7,650.0,100.0,100.0,88.89,100.0,94.12,3,Tabular Models,FARSEEING
2,ExtraTrees,7,372.0,99.0,72.73,88.89,97.04,80.0,0,Tabular Models,FARSEEING
3,ExtraTrees,7,1097.0,98.0,89.47,85.0,97.33,87.18,2,Tabular Models,FARSEEING
4,ExtraTrees,7,251.0,99.0,94.12,61.54,99.79,74.42,1,Tabular Models,FARSEEING
5,KNN,7,125.0,87.0,100.0,26.42,100.0,41.79,4,Tabular Models,FARSEEING
6,KNN,7,180.0,86.0,100.0,44.44,100.0,61.54,3,Tabular Models,FARSEEING
7,KNN,7,327.0,65.0,40.0,40.0,84.0,40.0,2,Tabular Models,FARSEEING
8,KNN,7,138.0,80.0,60.0,55.56,96.71,57.69,0,Tabular Models,FARSEEING
9,KNN,7,69.0,78.0,85.71,23.08,99.79,36.36,1,Tabular Models,FARSEEING
10,LogisticCV,7,71.0,95.0,100.0,72.22,100.0,83.87,3,Tabular Models,FARSEEING
11,LogisticCV,7,40.0,88.0,73.68,53.85,98.97,62.22,1,Tabular Models,FARSEEING
12,LogisticCV,7,75.0,97.0,95.74,84.91,98.86,90.0,4,Tabular Models,FARSEEING
13,LogisticCV,7,78.0,93.0,80.95,85.0,94.67,82.93,2,Tabular Models,FARSEEING
14,LogisticCV,7,57.0,97.0,85.71,88.89,98.68,87.27,0,Tabular Models,FARSEEING
15,RandomForest,7,68.0,99.0,69.44,92.59,96.38,79.37,0,Tabular Models,FARSEEING
16,RandomForest,7,94.0,100.0,100.0,84.91,100.0,91.84,4,Tabular Models,FARSEEING
17,RandomForest,7,142.0,100.0,94.12,88.89,99.23,91.43,3,Tabular Models,FARSEEING
18,RandomForest,7,217.0,98.0,85.0,85.0,96.0,85.0,2,Tabular Models,FARSEEING
19,RandomForest,7,45.0,98.0,94.44,65.38,99.79,77.27,1,Tabular Models,FARSEEING
20,RidgeCV,7,99.0,98.0,100.0,66.67,100.0,80.0,3,Tabular Models,FARSEEING
21,RidgeCV,7,26.0,96.0,93.75,75.0,98.67,83.33,2,Tabular Models,FARSEEING
22,RidgeCV,7,17.0,98.0,100.0,71.7,100.0,83.52,4,Tabular Models,FARSEEING
23,RidgeCV,7,15.0,97.0,100.0,74.07,100.0,85.11,0,Tabular Models,FARSEEING
24,RidgeCV,7,13.0,91.0,100.0,50.0,100.0,66.67,1,Tabular Models,FARSEEING
25,Catch22,7,5813.0,96.0,76.67,85.19,97.7,80.7,0,Time Series Models,FARSEEING
26,Catch22,7,9266.0,99.0,84.62,61.11,98.46,70.97,3,Time Series Models,FARSEEING
27,Catch22,7,4123.0,95.0,76.19,61.54,98.97,68.09,1,Time Series Models,FARSEEING
28,Catch22,7,17887.0,95.0,65.22,75.0,89.33,69.77,2,Time Series Models,FARSEEING
29,Catch22,7,7613.0,98.0,93.18,77.36,98.29,84.54,4,Time Series Models,FARSEEING
30,Hydra,7,18167.0,98.0,96.3,96.3,99.67,96.3,0,Time Series Models,FARSEEING
31,Hydra,7,30294.0,97.0,94.44,96.23,98.29,95.33,4,Time Series Models,FARSEEING
32,Hydra,7,17190.0,85.0,94.74,69.23,99.79,80.0,1,Time Series Models,FARSEEING
33,Hydra,7,37209.0,94.0,94.12,88.89,99.23,91.43,3,Time Series Models,FARSEEING
34,Hydra,7,61403.0,96.0,86.36,95.0,96.0,90.48,2,Time Series Models,FARSEEING
35,MultiRocketHydra,7,25117.0,98.0,89.66,96.3,99.01,92.86,0,Time Series Models,FARSEEING
36,MultiRocketHydra,7,19400.0,85.0,94.74,69.23,99.79,80.0,1,Time Series Models,FARSEEING
37,MultiRocketHydra,7,69730.0,92.0,81.82,90.0,94.67,85.71,2,Time Series Models,FARSEEING
38,MultiRocketHydra,7,44917.0,94.0,94.12,88.89,99.23,91.43,3,Time Series Models,FARSEEING
39,MultiRocketHydra,7,33277.0,96.0,96.08,92.45,98.86,94.23,4,Time Series Models,FARSEEING
40,QUANT,7,7947.0,99.0,94.74,69.23,99.79,80.0,1,Time Series Models,FARSEEING
41,QUANT,7,18175.0,98.0,86.36,95.0,96.0,90.48,2,Time Series Models,FARSEEING
42,QUANT,7,5387.0,100.0,80.65,92.59,98.03,86.21,0,Time Series Models,FARSEEING
43,QUANT,7,8314.0,100.0,89.47,94.44,98.46,91.89,3,Time Series Models,FARSEEING
44,QUANT,7,10515.0,100.0,98.0,92.45,99.43,95.15,4,Time Series Models,FARSEEING
45,Rocket,7,8424.0,94.0,94.12,88.89,99.23,91.43,3,Time Series Models,FARSEEING
46,Rocket,7,2822.0,86.0,82.61,73.08,99.18,77.55,1,Time Series Models,FARSEEING
47,Rocket,7,5936.0,90.0,91.67,83.02,97.71,87.13,4,Time Series Models,FARSEEING
48,Rocket,7,3903.0,95.0,78.12,92.59,97.7,84.75,0,Time Series Models,FARSEEING
49,Rocket,7,12612.0,87.0,93.75,75.0,98.67,83.33,2,Time Series Models,FARSEEING
50,ExtraTrees,7,872.0,99.0,93.33,97.67,96.25,95.45,4,Tabular Models,FallAllD
51,ExtraTrees,7,504.0,98.0,92.42,91.04,97.35,91.73,3,Tabular Models,FallAllD
52,ExtraTrees,7,510.0,100.0,98.77,86.02,99.49,91.95,0,Tabular Models,FallAllD
53,ExtraTrees,7,470.0,98.0,78.38,92.06,92.76,84.67,2,Tabular Models,FallAllD
54,ExtraTrees,7,510.0,99.0,87.36,97.44,94.55,92.12,1,Tabular Models,FallAllD
55,KNN,7,693.0,91.0,100.0,34.88,100.0,51.72,4,Tabular Models,FallAllD
56,KNN,7,273.0,77.0,85.71,26.87,98.41,40.91,3,Tabular Models,FallAllD
57,KNN,7,252.0,75.0,62.16,36.51,93.67,46.0,2,Tabular Models,FallAllD
58,KNN,7,252.0,76.0,86.67,13.98,98.98,24.07,0,Tabular Models,FallAllD
59,KNN,7,252.0,88.0,87.8,46.15,97.52,60.5,1,Tabular Models,FallAllD
60,LogisticCV,7,84.0,98.0,90.91,89.55,96.83,90.23,3,Tabular Models,FallAllD
61,LogisticCV,7,81.0,98.0,86.9,93.59,94.55,90.12,1,Tabular Models,FallAllD
62,LogisticCV,7,166.0,99.0,100.0,93.02,100.0,96.39,4,Tabular Models,FallAllD
63,LogisticCV,7,77.0,97.0,71.43,95.24,89.14,81.63,2,Tabular Models,FallAllD
64,LogisticCV,7,78.0,99.0,96.92,67.74,98.98,79.75,0,Tabular Models,FallAllD
65,RandomForest,7,154.0,99.0,98.63,77.42,99.49,86.75,0,Tabular Models,FallAllD
66,RandomForest,7,348.0,99.0,93.18,95.35,96.25,94.25,4,Tabular Models,FallAllD
67,RandomForest,7,173.0,98.0,90.91,89.55,96.83,90.23,3,Tabular Models,FallAllD
68,RandomForest,7,158.0,98.0,74.67,88.89,91.4,81.16,2,Tabular Models,FallAllD
69,RandomForest,7,162.0,99.0,88.37,97.44,95.05,92.68,1,Tabular Models,FallAllD
70,RidgeCV,7,32.0,98.0,93.1,80.6,97.88,86.4,3,Tabular Models,FallAllD
71,RidgeCV,7,31.0,97.0,77.03,90.48,92.31,83.21,2,Tabular Models,FallAllD
72,RidgeCV,7,40.0,99.0,97.5,90.7,98.75,93.98,4,Tabular Models,FallAllD
73,RidgeCV,7,31.0,99.0,98.25,60.22,99.49,74.67,0,Tabular Models,FallAllD
74,RidgeCV,7,31.0,99.0,92.31,92.31,97.03,92.31,1,Tabular Models,FallAllD
75,Catch22,7,15900.0,100.0,97.83,96.77,98.98,97.3,0,Time Series Models,FallAllD
76,Catch22,7,16023.0,98.0,89.86,92.54,96.3,91.18,3,Time Series Models,FallAllD
77,Catch22,7,15450.0,99.0,84.62,98.72,93.07,91.12,1,Time Series Models,FallAllD
78,Catch22,7,16402.0,98.0,88.71,87.3,96.83,88.0,2,Time Series Models,FallAllD
79,Catch22,7,35412.0,100.0,100.0,100.0,100.0,100.0,4,Time Series Models,FallAllD
80,Hydra,7,63763.0,97.0,100.0,93.55,100.0,96.67,0,Time Series Models,FallAllD
81,Hydra,7,126369.0,100.0,100.0,100.0,100.0,100.0,4,Time Series Models,FallAllD
82,Hydra,7,61730.0,98.0,91.67,98.72,96.53,95.06,1,Time Series Models,FallAllD
83,Hydra,7,66304.0,92.0,86.96,89.55,95.24,88.24,3,Time Series Models,FallAllD
84,Hydra,7,60059.0,98.0,98.39,96.83,99.55,97.6,2,Time Series Models,FallAllD
85,MultiRocketHydra,7,67901.0,98.0,98.9,96.77,99.49,97.83,0,Time Series Models,FallAllD
86,MultiRocketHydra,7,75341.0,98.0,88.64,100.0,95.05,93.98,1,Time Series Models,FallAllD
87,MultiRocketHydra,7,69565.0,98.0,98.39,96.83,99.55,97.6,2,Time Series Models,FallAllD
88,MultiRocketHydra,7,74574.0,99.0,95.71,100.0,98.41,97.81,3,Time Series Models,FallAllD
89,MultiRocketHydra,7,143642.0,99.0,97.73,100.0,98.75,98.85,4,Time Series Models,FallAllD
90,QUANT,7,13482.0,100.0,89.53,98.72,95.54,93.9,1,Time Series Models,FallAllD
91,QUANT,7,12348.0,100.0,96.72,93.65,99.1,95.16,2,Time Series Models,FallAllD
92,QUANT,7,9446.0,100.0,98.89,95.7,99.49,97.27,0,Time Series Models,FallAllD
93,QUANT,7,17274.0,100.0,94.37,100.0,97.88,97.1,3,Time Series Models,FallAllD
94,QUANT,7,29877.0,100.0,100.0,97.67,100.0,98.82,4,Time Series Models,FallAllD
95,Rocket,7,13406.0,93.0,92.19,88.06,97.35,90.08,3,Time Series Models,FallAllD
96,Rocket,7,12118.0,97.0,94.94,96.15,98.02,95.54,1,Time Series Models,FallAllD
97,Rocket,7,26186.0,99.0,95.56,100.0,97.5,97.73,4,Time Series Models,FallAllD
98,Rocket,7,11915.0,96.0,100.0,91.4,100.0,95.51,0,Time Series Models,FallAllD
99,Rocket,7,12249.0,97.0,98.36,95.24,99.55,96.77,2,Time Series Models,FallAllD
100,ExtraTrees,7,127.0,98.0,94.02,65.78,99.42,77.4,4,Tabular Models,SisFall
101,ExtraTrees,7,127.0,100.0,85.71,75.59,99.25,80.33,3,Tabular Models,SisFall
102,ExtraTrees,7,139.0,99.0,99.2,63.27,99.95,77.26,0,Tabular Models,SisFall
103,ExtraTrees,7,128.0,98.0,86.86,73.43,98.92,79.58,2,Tabular Models,SisFall
104,ExtraTrees,7,123.0,99.0,89.79,84.7,98.27,87.17,1,Tabular Models,SisFall
105,KNN,7,314.0,93.0,77.35,68.82,97.21,72.84,4,Tabular Models,SisFall
106,KNN,7,297.0,97.0,84.09,87.4,99.01,85.71,3,Tabular Models,SisFall
107,KNN,7,285.0,92.0,85.23,72.46,98.78,78.33,2,Tabular Models,SisFall
108,KNN,7,313.0,96.0,90.3,76.02,99.15,82.55,0,Tabular Models,SisFall
109,KNN,7,282.0,98.0,87.92,82.44,97.96,85.09,1,Tabular Models,SisFall
110,LogisticCV,7,70.0,75.0,37.74,15.75,98.45,22.22,3,Tabular Models,SisFall
111,LogisticCV,7,66.0,82.0,100.0,0.0,100.0,0.0,1,Tabular Models,SisFall
112,LogisticCV,7,74.0,73.0,53.85,10.65,98.74,17.78,4,Tabular Models,SisFall
113,LogisticCV,7,65.0,77.0,42.55,19.32,97.47,26.58,2,Tabular Models,SisFall
114,LogisticCV,7,70.0,70.0,33.33,15.82,96.71,21.45,0,Tabular Models,SisFall
115,RandomForest,7,168.0,98.0,98.33,60.2,99.89,74.68,0,Tabular Models,SisFall
116,RandomForest,7,152.0,96.0,91.33,60.08,99.21,72.48,4,Tabular Models,SisFall
117,RandomForest,7,158.0,99.0,89.0,70.08,99.48,78.41,3,Tabular Models,SisFall
118,RandomForest,7,151.0,97.0,86.23,69.57,98.92,77.01,2,Tabular Models,SisFall
119,RandomForest,7,153.0,98.0,90.91,79.32,98.57,84.72,1,Tabular Models,SisFall
120,RidgeCV,7,18.0,70.0,100.0,2.36,100.0,4.62,3,Tabular Models,SisFall
121,RidgeCV,7,19.0,77.0,71.43,2.42,99.91,4.67,2,Tabular Models,SisFall
122,RidgeCV,7,18.0,72.0,100.0,0.76,100.0,1.51,4,Tabular Models,SisFall
123,RidgeCV,7,17.0,72.0,100.0,0.51,100.0,1.02,0,Tabular Models,SisFall
124,RidgeCV,7,18.0,78.0,100.0,0.0,100.0,0.0,1,Tabular Models,SisFall
125,Catch22,7,12694.0,99.0,83.49,90.31,98.14,86.76,0,Time Series Models,SisFall
126,Catch22,7,16894.0,100.0,95.93,92.91,99.76,94.4,3,Time Series Models,SisFall
127,Catch22,7,11452.0,100.0,97.46,97.73,99.54,97.6,1,Time Series Models,SisFall
128,Catch22,7,12458.0,99.0,95.58,83.57,99.63,89.18,2,Time Series Models,SisFall
129,Catch22,7,13179.0,99.0,100.0,84.03,100.0,91.32,4,Time Series Models,SisFall
130,Hydra,7,36567.0,97.0,95.83,93.88,99.58,94.85,0,Time Series Models,SisFall
131,Hydra,7,36961.0,96.0,95.69,92.78,99.42,94.21,4,Time Series Models,SisFall
132,Hydra,7,35537.0,99.0,99.71,98.87,99.95,99.29,1,Time Series Models,SisFall
133,Hydra,7,35917.0,99.0,95.45,99.21,99.72,97.3,3,Time Series Models,SisFall
134,Hydra,7,32767.0,94.0,96.79,87.44,99.72,91.88,2,Time Series Models,SisFall
135,MultiRocketHydra,7,41272.0,96.0,98.9,91.33,99.89,94.96,0,Time Series Models,SisFall
136,MultiRocketHydra,7,38090.0,100.0,100.0,100.0,100.0,100.0,1,Time Series Models,SisFall
137,MultiRocketHydra,7,38403.0,95.0,96.89,90.34,99.72,93.5,2,Time Series Models,SisFall
138,MultiRocketHydra,7,40392.0,100.0,100.0,99.21,100.0,99.6,3,Time Series Models,SisFall
139,MultiRocketHydra,7,42070.0,96.0,100.0,91.25,100.0,95.43,4,Time Series Models,SisFall
140,QUANT,7,4362.0,100.0,97.73,97.73,99.59,97.73,1,Time Series Models,SisFall
141,QUANT,7,3531.0,99.0,87.44,87.44,98.78,87.44,2,Time Series Models,SisFall
142,QUANT,7,4411.0,100.0,94.33,93.37,99.42,93.85,0,Time Series Models,SisFall
143,QUANT,7,5083.0,100.0,100.0,96.06,100.0,97.99,3,Time Series Models,SisFall
144,QUANT,7,5871.0,100.0,98.35,90.87,99.79,94.47,4,Time Series Models,SisFall
145,Rocket,7,8657.0,99.0,90.65,99.21,99.39,94.74,3,Time Series Models,SisFall
146,Rocket,7,8666.0,99.0,100.0,98.58,100.0,99.29,1,Time Series Models,SisFall
147,Rocket,7,8865.0,93.0,100.0,85.93,100.0,92.43,4,Time Series Models,SisFall
148,Rocket,7,9225.0,95.0,88.94,90.31,98.83,89.62,0,Time Series Models,SisFall
149,Rocket,7,8542.0,94.0,97.84,87.44,99.81,92.35,2,Time Series Models,SisFall
